Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,N,P,K,Temperature,Humidity
Arecanut,1997,Whole Year ,Assam,73814.0,56708,2051.4,7024878.38,22882.34,0.796086957,101,53,34,28.87,73.57
Arhar/Tur,1997,Kharif     ,Assam,6637.0,4685,2051.4,631643.29,2057.47,0.710434783,142,57,49,20.62,69.1
Castor seed,1997,Kharif     ,Assam,796.0,22,2051.4,75755.32,246.76,0.238333333,64,42,67,26.91,78.26
Coconut ,1997,Whole Year ,Assam,19656.0,126905000,2051.4,1870661.52,6093.36,5238.051739,121,72,59,26.54,52.71
Cotton(lint),1997,Kharif     ,Assam,1739.0,794,2051.4,165500.63,539.09,0.420909091,110,20,63,28.2,57.82
Dry chillies,1997,Whole Year ,Assam,13587.0,9073,2051.4,1293074.79,4211.97,0.643636364,70,22,65,31.07,66.28
Gram,1997,Rabi       ,Assam,2979.0,1507,2051.4,283511.43,923.49,0.465454545,132,22,25,24.24,74.71
Jute,1997,Kharif     ,Assam,94520.0,904095,2051.4,8995468.4,29301.2,9.919565217,136,47,43,26.49,55.78
Linseed,1997,Rabi       ,Assam,10098.0,5158,2051.4,961026.66,3130.38,0.461363636,124,33,26,31.89,65.18
Maize,1997,Kharif     ,Assam,19216.0,14721,2051.4,1828786.72,5956.96,0.615652174,124,71,25,33.84,60.44
Mesta,1997,Kharif     ,Assam,5915.0,29003,2051.4,562930.55,1833.65,4.568947368,137,49,52,33.37,75.82
Niger seed,1997,Whole Year ,Assam,9914.0,5076,2051.4,943515.38,3073.34,0.482352941,149,77,57,27.16,86.77
Onion,1997,Whole Year ,Assam,7832.0,17943,2051.4,745371.44,2427.92,2.342608696,73,73,63,27.81,56.64
Other  Rabi pulses,1997,Rabi       ,Assam,108297.0,58272,2051.4,10306625.49,33572.07,0.520869565,52,24,36,27.94,57.57
Potato,1997,Whole Year ,Assam,75259.0,671871,2051.4,7162399.03,23330.29,7.561304348,71,68,50,33.03,74.02
Rapeseed &Mustard,1997,Rabi       ,Assam,279292.0,154772,2051.4,26580219.64,86580.52,0.554782609,102,34,56,32.6,68.14
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,51,57,30,24.67,78.72
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,137,33,24,22.44,61.52
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,79,33,83,25.68,71.79
Rice,1997,Summer     ,Assam,174974.0,209623,2051.4,16652275.58,54241.94,1.060434783,51,57,30,24.67,78.72
Rice,1997,Summer     ,Assam,174974.0,209623,2051.4,16652275.58,54241.94,1.060434783,137,33,24,22.44,61.52
Rice,1997,Summer     ,Assam,174974.0,209623,2051.4,16652275.58,54241.94,1.060434783,79,33,83,25.68,71.79
Rice,1997,Winter     ,Assam,1743321.0,1647296,2051.4,165911859.6,540429.51,0.941304348,51,57,30,24.67,78.72
Rice,1997,Winter     ,Assam,1743321.0,1647296,2051.4,165911859.6,540429.51,0.941304348,137,33,24,22.44,61.52
Rice,1997,Winter     ,Assam,1743321.0,1647296,2051.4,165911859.6,540429.51,0.941304348,79,33,83,25.68,71.79
Sesamum,1997,Whole Year ,Assam,15765.0,8257,2051.4,1500355.05,4887.15,0.487391304,87,76,22,24.33,65.47
Small millets,1997,Kharif     ,Assam,10490.0,5391,2051.4,998333.3,3251.9,0.473,51,78,75,34.26,61.25
Sugarcane,1997,Kharif     ,Assam,31318.0,1287451,2051.4,2980534.06,9708.58,41.89695652,113,68,82,23.99,79.17
Sweet potato,1997,Whole Year ,Assam,9380.0,32618,2051.4,892694.6,2907.8,3.440434783,109,27,57,22.72,81.84
Tapioca,1997,Whole Year ,Assam,2465.0,11728,2051.4,234594.05,764.15,4.41826087,70,27,73,33.49,63.16
Tobacco,1997,Whole Year ,Assam,433.0,26,2051.4,41208.61,134.23,0.38,82,38,21,21.3,74.92
Turmeric,1997,Whole Year ,Assam,10071.0,6974,2051.4,958457.07,3122.01,0.67,125,51,21,23.9,57.14
Wheat,1997,Rabi       ,Assam,84698.0,110054,2051.4,8060708.66,26256.38,1.25952381,107,50,31,26.59,81.64
Arecanut,1997,Whole Year ,Karnataka,93100.0,133342,1266.7,8860327.0,28861.0,1.293571429,71,48,59,28.93,61.25
Arhar/Tur,1997,Kharif     ,Karnataka,421810.0,98473,1266.7,40143657.7,130761.1,0.268235294,138,60,21,24.92,56.84
Bajra,1997,Kharif     ,Karnataka,301149.0,132056,1266.7,28660350.33,93356.19,0.404545455,98,30,76,27.44,87.6
Bajra,1997,Kharif     ,Karnataka,301149.0,132056,1266.7,28660350.33,93356.19,0.404545455,140,64,66,22.98,66.9
Bajra,1997,Summer     ,Karnataka,820.0,662,1266.7,78039.4,254.2,0.81,98,30,76,27.44,87.6
Bajra,1997,Summer     ,Karnataka,820.0,662,1266.7,78039.4,254.2,0.81,140,64,66,22.98,66.9
Black pepper,1997,Kharif     ,Karnataka,3825.0,924,1266.7,364025.25,1185.75,0.4375,108,32,55,28.61,75.74
Cardamom,1997,Whole Year ,Karnataka,21230.0,1214,1266.7,2020459.1,6581.3,0.058571429,91,46,23,26.12,82.37
Coriander,1997,Whole Year ,Karnataka,17317.0,2853,1266.7,1648058.89,5368.27,0.121333333,141,75,43,32.74,77.45
Dry chillies,1997,Kharif     ,Karnataka,186579.0,139206,1266.7,17756723.43,57839.49,1.078333333,109,38,81,26.24,72.59
Dry chillies,1997,Kharif     ,Karnataka,186579.0,139206,1266.7,17756723.43,57839.49,1.078333333,129,45,21,26.66,64.86
Dry chillies,1997,Rabi       ,Karnataka,4565.0,7895,1266.7,434451.05,1415.15,1.869444444,109,38,81,26.24,72.59
Dry chillies,1997,Rabi       ,Karnataka,4565.0,7895,1266.7,434451.05,1415.15,1.869444444,129,45,21,26.66,64.86
Garlic,1997,Whole Year ,Karnataka,5061.0,3799,1266.7,481655.37,1568.91,1.585,64,72,34,28.88,86.74
Ginger,1997,Kharif     ,Karnataka,3619.0,4745,1266.7,344420.23,1121.89,1.262307692,111,70,68,21.85,55.34
Groundnut,1997,Kharif     ,Karnataka,847666.0,525562,1266.7,80672373.22,262776.46,0.709411765,111,56,54,22.35,85.36
Groundnut,1997,Kharif     ,Karnataka,847666.0,525562,1266.7,80672373.22,262776.46,0.709411765,96,67,66,31.85,78.39
Groundnut,1997,Rabi       ,Karnataka,192416.0,181071,1266.7,18312230.72,59648.96,1.133333333,111,56,54,22.35,85.36
Groundnut,1997,Rabi       ,Karnataka,192416.0,181071,1266.7,18312230.72,59648.96,1.133333333,96,67,66,31.85,78.39
Horse-gram,1997,Kharif     ,Karnataka,178872.0,80124,1266.7,17023248.24,55450.32,0.45,111,28,43,24.1,72.86
Horse-gram,1997,Kharif     ,Karnataka,178872.0,80124,1266.7,17023248.24,55450.32,0.45,100,47,79,30.27,62.99
Horse-gram,1997,Rabi       ,Karnataka,163173.0,82572,1266.7,15529174.41,50583.63,0.514705882,111,28,43,24.1,72.86
Horse-gram,1997,Rabi       ,Karnataka,163173.0,82572,1266.7,15529174.41,50583.63,0.514705882,100,47,79,30.27,62.99
Jowar,1997,Kharif     ,Karnataka,389690.0,516093,1266.7,37086797.3,120803.9,1.228,104,51,67,21.46,55.84
Jowar,1997,Kharif     ,Karnataka,389690.0,516093,1266.7,37086797.3,120803.9,1.228,113,71,42,32.33,67.73
Jowar,1997,Kharif     ,Karnataka,389690.0,516093,1266.7,37086797.3,120803.9,1.228,52,73,31,34.82,81.35
Jowar,1997,Rabi       ,Karnataka,1501172.0,722773,1266.7,142866539.2,465363.32,0.510714286,104,51,67,21.46,55.84
Jowar,1997,Rabi       ,Karnataka,1501172.0,722773,1266.7,142866539.2,465363.32,0.510714286,113,71,42,32.33,67.73
Jowar,1997,Rabi       ,Karnataka,1501172.0,722773,1266.7,142866539.2,465363.32,0.510714286,52,73,31,34.82,81.35
Jowar,1997,Summer     ,Karnataka,6137.0,15135,1266.7,584058.29,1902.47,2.470909091,104,51,67,21.46,55.84
Jowar,1997,Summer     ,Karnataka,6137.0,15135,1266.7,584058.29,1902.47,2.470909091,113,71,42,32.33,67.73
Jowar,1997,Summer     ,Karnataka,6137.0,15135,1266.7,584058.29,1902.47,2.470909091,52,73,31,34.82,81.35
Maize,1997,Kharif     ,Karnataka,502797.0,1391132,1266.7,47851190.49,155867.07,2.687777778,100,22,60,25.61,79.81
Maize,1997,Kharif     ,Karnataka,502797.0,1391132,1266.7,47851190.49,155867.07,2.687777778,56,70,48,27.58,75.82
Maize,1997,Kharif     ,Karnataka,502797.0,1391132,1266.7,47851190.49,155867.07,2.687777778,70,51,89,26.64,89.7
Maize,1997,Rabi       ,Karnataka,48844.0,98932,1266.7,4648483.48,15141.64,1.98,100,22,60,25.61,79.81
Maize,1997,Rabi       ,Karnataka,48844.0,98932,1266.7,4648483.48,15141.64,1.98,56,70,48,27.58,75.82
Maize,1997,Rabi       ,Karnataka,48844.0,98932,1266.7,4648483.48,15141.64,1.98,70,51,89,26.64,89.7
Maize,1997,Summer     ,Karnataka,9730.0,20893,1266.7,926004.1,3016.3,2.165714286,100,22,60,25.61,79.81
Maize,1997,Summer     ,Karnataka,9730.0,20893,1266.7,926004.1,3016.3,2.165714286,56,70,48,27.58,75.82
Maize,1997,Summer     ,Karnataka,9730.0,20893,1266.7,926004.1,3016.3,2.165714286,70,51,89,26.64,89.7
Ragi,1997,Kharif     ,Karnataka,897921.0,1214282,1266.7,85455141.57,278355.51,1.191333333,122,24,70,33.41,88.91
Ragi,1997,Kharif     ,Karnataka,897921.0,1214282,1266.7,85455141.57,278355.51,1.191333333,88,27,42,20.15,66.0
Ragi,1997,Kharif     ,Karnataka,897921.0,1214282,1266.7,85455141.57,278355.51,1.191333333,67,33,50,29.8,57.7
Ragi,1997,Rabi       ,Karnataka,27104.0,33696,1266.7,2579487.68,8402.24,1.312222222,122,24,70,33.41,88.91
Ragi,1997,Rabi       ,Karnataka,27104.0,33696,1266.7,2579487.68,8402.24,1.312222222,88,27,42,20.15,66.0
Ragi,1997,Rabi       ,Karnataka,27104.0,33696,1266.7,2579487.68,8402.24,1.312222222,67,33,50,29.8,57.7
Ragi,1997,Summer     ,Karnataka,13521.0,25035,1266.7,1286793.57,4191.51,1.847777778,122,24,70,33.41,88.91
Ragi,1997,Summer     ,Karnataka,13521.0,25035,1266.7,1286793.57,4191.51,1.847777778,88,27,42,20.15,66.0
Ragi,1997,Summer     ,Karnataka,13521.0,25035,1266.7,1286793.57,4191.51,1.847777778,67,33,50,29.8,57.7
Rice,1997,Kharif     ,Karnataka,1031530.0,2340493,1266.7,98170710.1,319774.3,2.2335,53,75,40,29.79,68.55
Rice,1997,Kharif     ,Karnataka,1031530.0,2340493,1266.7,98170710.1,319774.3,2.2335,138,22,43,25.74,83.78
Rice,1997,Kharif     ,Karnataka,1031530.0,2340493,1266.7,98170710.1,319774.3,2.2335,109,43,28,23.29,68.34
Rice,1997,Rabi       ,Karnataka,53889.0,109350,1266.7,5128616.13,16705.59,2.073846154,53,75,40,29.79,68.55
Rice,1997,Rabi       ,Karnataka,53889.0,109350,1266.7,5128616.13,16705.59,2.073846154,138,22,43,25.74,83.78
Rice,1997,Rabi       ,Karnataka,53889.0,109350,1266.7,5128616.13,16705.59,2.073846154,109,43,28,23.29,68.34
Rice,1997,Summer     ,Karnataka,268044.0,762759,1266.7,25509747.48,83093.64,2.829444444,53,75,40,29.79,68.55
Rice,1997,Summer     ,Karnataka,268044.0,762759,1266.7,25509747.48,83093.64,2.829444444,138,22,43,25.74,83.78
Rice,1997,Summer     ,Karnataka,268044.0,762759,1266.7,25509747.48,83093.64,2.829444444,109,43,28,23.29,68.34
Sugarcane,1997,Whole Year ,Karnataka,308857.0,28999269,1266.7,29393920.69,95745.67,91.74736842,63,32,41,23.6,63.44
Turmeric,1997,Whole Year ,Karnataka,4342.0,24108,1266.7,413228.14,1346.02,4.452941176,58,62,23,32.01,79.65
Wheat,1997,Rabi       ,Karnataka,250698.0,118512,1266.7,23858928.66,77716.38,0.548333333,139,48,22,20.99,76.01
Arecanut,1997,Whole Year ,Kerala,76145.0,93995,3252.4,7246719.65,23604.95,1.147857143,102,27,47,28.46,88.75
Black pepper,1997,Whole Year ,Kerala,173855.0,55520,3252.4,16545780.35,53895.05,0.240714286,51,70,34,24.6,71.97
Cashewnut,1997,Whole Year ,Kerala,96073.0,74142,3252.4,9143267.41,29782.63,0.589285714,133,61,27,23.98,88.7
Coconut ,1997,Whole Year ,Kerala,884344.0,5210000000,3252.4,84163018.48,274146.64,5376.054286,141,50,67,27.59,61.64
Tapioca,1997,Whole Year ,Kerala,132875.0,2841819,3252.4,12645713.75,41191.25,22.80357143,109,45,71,33.47,84.59
Arecanut,1997,Whole Year ,Meghalaya,9569.0,12116,3818.2,910681.73,2966.39,1.245714286,120,37,74,29.27,64.04
Arhar/Tur,1997,Kharif     ,Meghalaya,865.0,683,3818.2,82322.05,268.15,0.806666667,93,77,56,31.83,82.39
Banana,1997,Whole Year ,Meghalaya,5239.0,63011,3818.2,498595.63,1624.09,11.20714286,57,37,23,29.01,87.04
Castor seed,1997,Rabi       ,Meghalaya,30.0,15,3818.2,2855.1,9.3,0.49,96,76,74,30.47,74.93
Cotton(lint),1997,Kharif     ,Meghalaya,7544.0,5590,3818.2,717962.48,2338.64,0.796666667,84,26,31,26.49,79.14
Dry chillies,1997,Whole Year ,Meghalaya,1766.0,1106,3818.2,168070.22,547.46,0.64,127,67,38,33.89,88.35
Ginger,1997,Kharif     ,Meghalaya,7357.0,45260,3818.2,700165.69,2280.67,6.054285714,130,57,76,27.53,65.01
Gram,1997,Rabi       ,Meghalaya,443.0,270,3818.2,42160.31,137.33,0.613333333,85,67,56,28.28,70.46
Jute,1997,Kharif     ,Meghalaya,4243.0,34683,3818.2,403806.31,1315.33,8.436666667,99,35,26,27.87,85.93
Linseed,1997,Kharif     ,Meghalaya,50.0,22,3818.2,4758.5,15.5,0.44,53,74,74,24.74,76.91
Maize,1997,Kharif     ,Meghalaya,17175.0,24878,3818.2,1634544.75,5324.25,1.444285714,51,75,47,23.47,84.94
Mesta,1997,Kharif     ,Meghalaya,4688.0,21558,3818.2,446156.96,1453.28,4.68,55,79,56,21.11,74.73
Mesta,1997,Kharif     ,Meghalaya,4688.0,21558,3818.2,446156.96,1453.28,4.68,103,52,80,30.77,79.59
Mesta,1997,Whole Year ,Meghalaya,861.0,713,3818.2,81941.37,266.91,0.7525,55,79,56,21.11,74.73
